#                  hop.int53        hop.smi          hop.nan          
almabench,          1.00,0.98,1.02,  1.04,1.03,1.05,  0.30,0.30,0.31   
bague,              1.00,1.00,1.02,  1.26,1.26,1.27,  1.91,1.91,1.92   
basic,              1.00,0.98,1.02,  1.66,1.65,1.69,  2.08,2.05,2.10   
boyer-scm,          1.00,0.97,1.03,  1.00,0.96,1.02,  1.09,1.06,1.14   
earley-scm,         1.00,0.83,1.02,  1.09,0.89,1.11,  1.15,0.97,1.17   
jpeg,               1.00,0.96,1.11,  1.04,1.00,1.05,  1.14,1.10,1.17   
js-of-ocaml,        1.00,0.98,1.01,  1.00,0.98,1.02,  1.28,1.26,1.29   
leval,              1.00,0.98,1.02,  1.03,1.01,1.04,  1.19,1.18,1.21   
marked,             1.00,0.96,1.02,  1.00,0.98,1.02,  1.04,1.02,1.06   
maze,               1.00,0.97,1.06,  0.94,0.93,0.97,  1.12,1.09,1.14   
minimatch,          1.00,0.97,1.02,  1.04,1.01,1.06,  1.10,1.08,1.12   
minimist,           1.00,0.98,1.03,  1.02,0.98,1.04,  1.17,1.15,1.19   
moment,             1.00,0.97,1.01,  1.02,1.00,1.04,  1.10,1.09,1.13   
puzzle,             1.00,1.00,1.01,  1.27,1.27,1.28,  2.07,2.05,2.08   
qrcode,             1.00,0.96,1.07,  1.22,1.19,1.28,  1.28,1.23,1.39   
rho,                1.00,0.96,1.02,  0.98,0.96,1.02,  1.15,1.12,1.19   
richards+,     1.00,0.99,1.03,  0.97,0.96,0.97,  1.23,1.22,1.25   
uuid,               1.00,0.97,1.01,  1.85,1.83,1.87,  1.50,1.49,1.53   
z80,                1.00,0.98,1.03,  1.00,0.99,1.02,  1.05,1.02,1.07   

